© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
N-acetyl-lysyltyrosylcysteine-amide	chemical reagent	4.28E-02	XDH	 
glasdegib	chemical drug	4.28E-02	GLI1	 
ATB-346	chemical drug	4.28E-02	IL1B	 
RP11_469A152	other	4.28E-02	SOX2	 
ciliobrevin A	chemical reagent	4.28E-02	GLI1	 
BAI	chemical - kinase inhibitor	4.28E-02	CFLAR	 
verticillin A	chemical reagent	4.28E-02	FAS	 
trimellitic anhydride	chemical toxicant	4.28E-02	IL1B	 
PD 173958	chemical - kinase inhibitor	4.28E-02	LOR	 
2,5-hexanedione	chemical toxicant	4.28E-02	FAS	 
SB 559457	chemical reagent	4.28E-02	DDIT4	 
octanal	chemical - endogenous mammalian	4.28E-02	TUBB3	 
chalcone-24	chemical reagent	4.28E-02	BIRC3	 
benzo(a)pyrene-7,8-dione	chemical toxicant	4.28E-02	AKR1C1/AKR1C2	 
urushiol	chemical - endogenous non-mammalian	4.28E-02	IL1B	 
S42	chemical reagent	4.28E-02	SREBF1	 
phenol	chemical - endogenous mammalian	4.28E-02	IL1B	 
cation	chemical - other	4.28E-02	ITGB2	 
Mir23a/b/c	group	4.28E-02	SPRY2	 
echium oil	chemical drug	4.28E-02	IL1B	 
AGN 190299	chemical drug	4.28E-02	TGM1	 
thiamine	chemical - endogenous mammalian	4.28E-02	TKT	 
Z-YVAD-FMK	chemical reagent	4.28E-02	IL1B	 
3-hydroxyflavone	chemical - endogenous non-mammalian	4.28E-02	HSPA1A/HSPA1B	 
isorhamnetin	chemical - endogenous non-mammalian	4.28E-02	OLR1	 
lysophospholipids	chemical - endogenous mammalian	4.28E-02	CLDN1	 
benserazide	chemical drug	4.28E-02	GNAL	 
N(6)-carboxymethyl-L-lysine	chemical - endogenous mammalian	4.28E-02	CCN2	 
KB-R7785	chemical - protease inhibitor	4.28E-02	HBEGF	 
fluorocitric acid	chemical reagent	4.28E-02	IL1B	 
CUX1	transcription regulator	4.30E-02	ARHGDIB,CCN5,HLA-B,ITGB2	 
MUC1	other	4.30E-02	CD83,FASN,IFIT3,MUC1	 
N-acetylmuramyl-L-alanyl-D-isoglutamine	chemical - endogenous non-mammalian	4.30E-02	CASP1,CLDN1,IL1B,ITGB2	 
HNF1B	transcription regulator	4.34E-02	CITED2,CLDN1,ID3,ID4,IFT88,IHH	 
trans-hydroxytamoxifen	chemical drug	4.38E-02	AREG,CCN5,CITED2,DDIT4,DUSP4,EFNA1,MPPED2,MUC1	 
simvastatin	chemical drug	4.40E-02	ARHGDIA,CCN2,CFLAR,FADS2,IL1B,ITGB2,NCF2,OLR1,RHOU	 
ZFP36	transcription regulator	4.40E-02	BIRC3,CTSS,IL1B,LMO2,MXD1	 
miR-291a-3p (and other miRNAs w/seed AAGUGCU)	mature microRNA	4.40E-02	CD83,GBP3,STX11,TFAP4,TNFAIP1	 
TCL1A	transcription regulator	4.40E-02	CTSS,GDF15,IL1B,ITGB2,TNFAIP2	 
4-phenylbutyric acid	chemical - endogenous mammalian	4.40E-02	CFLAR,MXD1,OLR1,PADI2,PLP1	 
RHO	G-protein coupled receptor	4.52E-02	CRABP1,CTSS,KCNB1,TRPC1	 
HIF1A	transcription regulator	4.55E-02	AKAP12,ANGPTL4,CCN2,CD274,CITED2,CLDN1,DDIT4,FHL1,IL1B,ITGB2,MAFF,MUC1,NR4A3,RASSF1,TNFAIP2	 
NORAD	other	4.55E-02	CCN2,FSTL3,ID3	 
XDH	enzyme	4.55E-02	CCN2,ID3,IL1B	 
ROCK2	kinase	4.55E-02	CNN1,FAS,SCEL	 
CD4	transmembrane receptor	4.55E-02	CFLAR,FAS,ID3	 
PIAS1	transcription regulator	4.55E-02	FASN,SCD,SREBF1	 
GNB2	enzyme	4.55E-02	CD83,FOSB,IL1B	 
CD80	transmembrane receptor	4.55E-02	FAS,IL1B,TNFRSF9	 
IL27RA	transmembrane receptor	4.55E-02	EBI3,FAS,IL1B	 
sorafenib	chemical drug	4.55E-02	CFLAR,IL1B,OAS1	 
bucladesine	chemical toxicant	4.56E-02	ACER2,AKR1B10,CHST2,CRYAB,DMD,EOMES,FSTL3,GDF15,HHIP,ID4,IL1B,ITGB2,NR4A3	 
Srebp	group	4.59E-02	FASN,PGD	 
OMA1	peptidase	4.59E-02	FASN,SCD	 
SHARPIN	other	4.59E-02	CASP1,IL1B	 
NUP62	transporter	4.59E-02	IHH,LOR	 
TGIF1	transcription regulator	4.59E-02	IL1B,STRA6	 
STK3	kinase	4.59E-02	CCN2,GPC3	 
IFT57	other	4.59E-02	CASP1,CASP10	 
CREB3	transcription regulator	4.59E-02	INSIG1,SREBF1	 
101.10 peptide	chemical reagent	4.59E-02	IL1B,IL1RN	 
Go6983	chemical - kinase inhibitor	4.59E-02	CCN2,CLDN1	 
DMD	other	4.73E-02	ACHE,ANKRD1,CTSS,DMD,FBXO32,GPD1,MYH2,PADI2,SCIN	 
Hif1	complex	4.75E-02	CD83,DDIT4,KCNB1,TNFRSF9	 
TRAF3	enzyme	4.76E-02	BIRC3,EBI3,FAS,IL1B,RELB	 
Ifn	group	4.80E-02	CD83,FAS,IL15RA,ISG20,TRIM22,XDH	 
POU2F1	transcription regulator	4.80E-02	CYP2J2,DDIT4,OLR1,SAA1,SLC7A11,TIMP3	 
GSK3B	kinase	4.80E-02	BIRC3,CFLAR,GLI1,IFT88,IL1B,SREBF1	 
CYLD	transcription regulator	4.86E-02	IL1B,IL7R,RELB	 
SUMO3	other	4.86E-02	CEACAM1,LAMP3,PLA2G3	 
CIDEC	other	4.86E-02	FASN,SCD,SREBF1	 
NR1D1	ligand-dependent nuclear receptor	4.86E-02	CTSV,FADS2,FASN	 
mevalonic acid	chemical - endogenous mammalian	4.86E-02	FASN,IL1B,SREBF1	 
Nr1h	group	4.91E-02	FASN,FGF1,GLI1,IL1B,SCD,SREBF1,TIMP3	 
NFAT5	transcription regulator	4.95E-02	AREG,DDIT4,IL1B,IL1RN,TNFAIP2	 
CD36	transmembrane receptor	4.95E-02	AREG,FAS,FASN,IL1B,SCD	 
PARP1	enzyme	4.96E-02	CD274,DNAJC12,FAS,FASN,GDF15,IL1B	 
trichostatin A	chemical drug	4.97E-02	AKAP12,ANKRD1,CFLAR,CLDN1,CRTAC1,DHRS2,EPHA3,FAS,FASN,HDAC9,HMGCS1,ID3,IL1B,MUC1,MVK,MXD1,PMEL,PMM2,RASSF1,RELB,SOX12,SREBF1,STAG1,TGM1,TIMP3,TNFAIP2,TUBB3	 
NR4A3	ligand-dependent nuclear receptor	4.98E-02	BIRC3,COL16A1,FBP1,MYH2	 
TNFSF13B	cytokine	4.98E-02	CD83,CTSS,DUSP5,RELB	 
gemcitabine	chemical drug	4.98E-02	AREG,CD274,FAS,IL1B	 
Sn50 peptide	chemical toxicant	4.98E-02	BIRC3,CCN2,FAS,IL1B	 
Akt	group	4.99E-02	ANKRD1,CCN2,CD274,CFLAR,FAS,FBXO32,GLI1,IL1B,IL7R,MUC1,SOX2	 
IL5	cytokine	4.99E-02	AREG,CEACAM1,CITED2,DUSP5,FAS,HBEGF,NABP1,SCEL,SFPQ,TNFRSF9,ZNF25	 
E. coli serotype 0127B8 lipopolysaccharide	chemical - endogenous non-mammalian	5.00E-02	ADGRG2,CCN2,FGF1,GNG2,GPRC5B,IL1B,SLC7A11,UBD	 
